ADM1_NAME,region,conflict_proneness,proneness_level,incidents,causes_pct,num_actors,trend_delta,high_risk_events,fatalities,fatality_rate,climate_risk_score,cdi_category
North Darfur,North Darfur,7.94,VERY HIGH,349,40.114613180515754,21,1,140,8116,23.255014326647565,1.45,NORMAL
South Kordofan,South Kordofan,6.98,VERY HIGH,157,38.21656050955414,20,1,60,862,5.490445859872612,7.1,ALERT
White Nile,White Nile,5.43,HIGH,125,41.6,15,1,52,567,4.536,5.13,WARNING
Sennar,Sennar,5.25,HIGH,55,30.909090909090907,15,1,17,167,3.036363636363636,10.0,ALERT
North Kordofan,North Kordofan,5.18,HIGH,245,31.020408163265305,17,1,76,2236,9.126530612244897,0.0,NORMAL
Blue Nile,Blue Nile,5.08,HIGH,61,36.0655737704918,12,1,22,225,3.6885245901639343,10.0,ALERT
Al Jazirah,Al Jazirah,5.05,HIGH,185,36.75675675675676,18,1,68,1387,7.4972972972972975,0.0,NORMAL
Abyei,Abyei,4.8,HIGH,47,80.85106382978722,10,1,38,117,2.4893617021276597,0.28,NORMAL
West Kordofan,West Kordofan,4.77,HIGH,169,43.786982248520715,15,1,74,1497,8.857988165680473,0.06,NORMAL
South Darfur,South Darfur,4.71,HIGH,254,49.60629921259843,16,0,126,955,3.7598425196850394,0.03,NORMAL
Khartoum,Khartoum,4.41,HIGH,300,33.33333333333333,17,0,100,2030,6.766666666666667,0.0,NORMAL
Kassala,Kassala,3.18,MODERATE,37,51.35135135135135,11,1,19,13,0.35135135135135137,0.53,NORMAL
Central Darfur,Central Darfur,3.13,MODERATE,66,66.66666666666666,13,0,44,57,0.8636363636363636,0.0,NORMAL
East Darfur,East Darfur,3.13,MODERATE,86,59.30232558139535,14,0,51,61,0.7093023255813954,0.14,NORMAL
River Nile,River Nile,2.69,MODERATE,69,30.434782608695656,13,1,21,38,0.5507246376811594,0.71,NORMAL
Gedaref,Gedaref,2.34,MODERATE,26,38.46153846153847,12,0,10,48,1.8461538461538463,5.99,WARNING
Northern,Northern,2.09,MODERATE,84,41.66666666666667,13,0,35,57,0.6785714285714286,0.99,NORMAL
Red Sea,Red Sea,1.54,LOW,76,39.473684210526315,11,0,30,3,0.039473684210526314,1.11,NORMAL
West Darfur,West Darfur,1.04,LOW,60,41.66666666666667,10,0,25,53,0.8833333333333333,0.0,NORMAL
